mode,sweep,membrane_J,bending_J,membrane_damping_J,bending_damping_J,inertia_J,self_normal_J,body_normal_J,lagged_self_friction_J,lagged_self_damping_J,lagged_body_friction_J,lagged_body_damping_J,fixed_diagnostic_objective_J,conservative_inertial_J,current_body_normal_J,current_conservative_inertial_J,overflow_rows,asymmetric_ee_pairs
default,0,5.626244882066518,12.427935388080382,1.2534402354924997e-09,0.0005799714400267559,0.0,0.1301072745291577,0.5622841978381681,0.00629753355102796,9.193509326885276e-07,0.00010096789788790668,2.8400125009240833,21.593563636931624,18.746571742514227,0.5622841978381681,18.746571742514227,0,0
default,1,5.6276113090489766,12.430209303735488,2.282278539707425e-09,0.012259826189853955,1.2607582018922645e-07,0.5000953236488601,0.23468792984287726,0.005475316703501475,2.8167546036215578e-05,5.314993996144792e-05,0.12589883971483884,18.93631929472849,18.79260399235202,0.23468792984287726,18.79260399235202,0,0
default,2,5.630099516820213,12.429481605261937,4.154495573786699e-09,0.007964078383278478,2.1581654322085337e-07,0.26840336524698194,0.22111135041599583,0.005785674043304805,8.0644927320982e-06,0.00042128917216260463,0.09212030571353774,18.65539546952118,18.549096053561673,0.22111135041599583,18.549096053561673,0,0
default,3,5.630811753112871,12.42913264736881,3.3374120084956e-09,0.006250628183190303,2.986942882492688e-07,0.21943882165438866,0.19812860960622336,0.003930319858459909,5.681132955530722e-06,0.00028486933108450366,0.029647356817946682,18.51763098909763,18.477512130436583,0.19812860960622336,18.477512130436583,0,0
default,4,5.629671330801054,12.430220748920274,2.999753243616386e-09,0.0035034010683501473,3.900951676205314e-07,0.18070860229765934,0.19015185957585373,0.0074631534004582145,2.6680016422741477e-06,0.000831137282996537,0.019202598323106636,18.461755892766316,18.43075293169001,0.19015185957585373,18.43075293169001,0,0
default,5,5.629498243249749,12.429860322498243,2.799010276493313e-09,0.003715806497272341,4.887133945224753e-07,0.1421236263907931,0.18183504935496825,0.0072670764296483975,1.4955719160926774e-06,0.0003197036777214428,0.00815692195004801,18.402778737132763,18.383317730207146,0.18183504935496825,18.383317730207146,0,0
default,6,5.628515192702,12.429152704612495,2.513308616416645e-09,0.002641441134930598,5.866414746657857e-07,0.13008669969417666,0.1762430922814902,0.00455961949602714,8.432880986443311e-07,0.00024402556645353583,0.004143029270629683,18.375587237201085,18.363998275931635,0.1762430922814902,18.363998275931635,0,0
default,7,5.627611123405694,12.428841074227101,2.417197091753443e-09,0.003020958512987822,6.886982257215046e-07,0.10536666463804154,0.17209999689923516,0.005182887031722918,3.8777255311838427e-07,0.00015241754228670736,0.0016672646657321102,18.343943465810778,18.333919547868298,0.17209999689923516,18.333919547868298,0,0
default,8,5.626052162004008,12.428072219119954,2.0919306971217474e-09,0.0007017076036913262,7.976216521204473e-07,0.09990960642086467,0.1677359116931829,0.004650088308157351,4.635398524887787e-08,0.00011950229095341657,0.00016801825881939927,18.3274100617672,18.321770696859662,0.1677359116931829,18.321770696859662,0,0
ordinary20,0,5.626244882066518,12.427935388080382,1.2534402354924997e-09,0.0005799714400267559,0.0,0.1301072745291577,0.5622841978381681,0.00629753355102796,9.193509326885276e-07,0.00010096789788790668,2.8400125009240833,21.593563636931624,18.746571742514227,0.5622841978381681,18.746571742514227,0,0
